Title,Content,sp_players,Title,Title
"Montaner Reyes &#8211; Montaner Covarrubias vs Eyzaguirre - Casasempere",,,"Montaner Reyes &#8211; Montaner Covarrubias vs Eyzaguirre - Casasempere","Montaner Reyes &#8211; Montaner Covarrubias vs Eyzaguirre - Casasempere"
"Romero &#8211; Merino vs Giusti - Rivera",,,"Romero &#8211; Merino vs Giusti - Rivera","Romero &#8211; Merino vs Giusti - Rivera"
"Ponce &#8211; Unda vs Romero Duarte - Valenzuela",,,"Ponce &#8211; Unda vs Romero Duarte - Valenzuela","Ponce &#8211; Unda vs Romero Duarte - Valenzuela"
"Sica &#8211; Pizarro vs Valenzuela Niedbalski - Garcia",,,"Sica &#8211; Pizarro vs Valenzuela Niedbalski - Garcia","Sica &#8211; Pizarro vs Valenzuela Niedbalski - Garcia"
"Martiz &#8211; Kattan vs Vera - Viel",,,"Martiz &#8211; Kattan vs Vera - Viel","Martiz &#8211; Kattan vs Vera - Viel"
"Botero Piedrahita &#8211; Verástegui vs Vidal - Benítez",,,"Botero Piedrahita &#8211; Verástegui vs Vidal - Benítez","Botero Piedrahita &#8211; Verástegui vs Vidal - Benítez"
"Freyre &#8211; Brosky vs Vargas - Diaz",,,"Freyre &#8211; Brosky vs Vargas - Diaz","Freyre &#8211; Brosky vs Vargas - Diaz"
"Hurtado Sotomayor &#8211; Martínez Cuadro vs Sfeir - Amigo",,,"Hurtado Sotomayor &#8211; Martínez Cuadro vs Sfeir - Amigo","Hurtado Sotomayor &#8211; Martínez Cuadro vs Sfeir - Amigo"
"Vogel &#8211; Silva vs Eyzaguirre - Casasempere",,,"Vogel &#8211; Silva vs Eyzaguirre - Casasempere","Vogel &#8211; Silva vs Eyzaguirre - Casasempere"
"Amaro Castro &#8211; Arance Ibieta vs Giusti - Rivera",,,"Amaro Castro &#8211; Arance Ibieta vs Giusti - Rivera","Amaro Castro &#8211; Arance Ibieta vs Giusti - Rivera"
"Montaner Reyes &#8211; Montaner Covarrubias vs Romero Duarte - Valenzuela",,,"Montaner Reyes &#8211; Montaner Covarrubias vs Romero Duarte - Valenzuela","Montaner Reyes &#8211; Montaner Covarrubias vs Romero Duarte - Valenzuela"
"Romero &#8211; Merino vs Valenzuela Niedbalski - Garcia",,,"Romero &#8211; Merino vs Valenzuela Niedbalski - Garcia","Romero &#8211; Merino vs Valenzuela Niedbalski - Garcia"
"Ponce &#8211; Unda vs Vera - Viel",,,"Ponce &#8211; Unda vs Vera - Viel","Ponce &#8211; Unda vs Vera - Viel"
"Sica &#8211; Pizarro vs Vidal - Benítez",,,"Sica &#8211; Pizarro vs Vidal - Benítez","Sica &#8211; Pizarro vs Vidal - Benítez"
"Martiz &#8211; Kattan vs Vargas - Diaz",,,"Martiz &#8211; Kattan vs Vargas - Diaz","Martiz &#8211; Kattan vs Vargas - Diaz"
"Botero Piedrahita &#8211; Verástegui vs Sfeir - Amigo",,,"Botero Piedrahita &#8211; Verástegui vs Sfeir - Amigo","Botero Piedrahita &#8211; Verástegui vs Sfeir - Amigo"
"Freyre &#8211; Brosky vs Hurtado Sotomayor - Martínez Cuadro",,,"Freyre &#8211; Brosky vs Hurtado Sotomayor - Martínez Cuadro","Freyre &#8211; Brosky vs Hurtado Sotomayor - Martínez Cuadro"
"Álvares Jara &#8211; Álvarez Velez vs Giusti - Rivera",,,"Álvares Jara &#8211; Álvarez Velez vs Giusti - Rivera","Álvares Jara &#8211; Álvarez Velez vs Giusti - Rivera"
"Vogel &#8211; Silva vs Romero Duarte - Valenzuela",,,"Vogel &#8211; Silva vs Romero Duarte - Valenzuela","Vogel &#8211; Silva vs Romero Duarte - Valenzuela"
"Amaro Castro &#8211; Arance Ibieta vs Valenzuela Niedbalski - Garcia",,,"Amaro Castro &#8211; Arance Ibieta vs Valenzuela Niedbalski - Garcia","Amaro Castro &#8211; Arance Ibieta vs Valenzuela Niedbalski - Garcia"
"Montaner Reyes &#8211; Montaner Covarrubias vs Vera - Viel",,,"Montaner Reyes &#8211; Montaner Covarrubias vs Vera - Viel","Montaner Reyes &#8211; Montaner Covarrubias vs Vera - Viel"
"Romero &#8211; Merino vs Vidal - Benítez",,,"Romero &#8211; Merino vs Vidal - Benítez","Romero &#8211; Merino vs Vidal - Benítez"
"Ponce &#8211; Unda vs Vargas - Diaz",,,"Ponce &#8211; Unda vs Vargas - Diaz","Ponce &#8211; Unda vs Vargas - Diaz"
"Sica &#8211; Pizarro vs Sfeir - Amigo",,,"Sica &#8211; Pizarro vs Sfeir - Amigo","Sica &#8211; Pizarro vs Sfeir - Amigo"
"Martiz &#8211; Kattan vs Hurtado Sotomayor - Martínez Cuadro",,,"Martiz &#8211; Kattan vs Hurtado Sotomayor - Martínez Cuadro","Martiz &#8211; Kattan vs Hurtado Sotomayor - Martínez Cuadro"
"Botero Piedrahita &#8211; Verástegui vs Freyre - Brosky",,,"Botero Piedrahita &#8211; Verástegui vs Freyre - Brosky","Botero Piedrahita &#8211; Verástegui vs Freyre - Brosky"
"Eyzaguirre &#8211; Casasempere vs Romero Duarte - Valenzuela",,,"Eyzaguirre &#8211; Casasempere vs Romero Duarte - Valenzuela","Eyzaguirre &#8211; Casasempere vs Romero Duarte - Valenzuela"
"Álvares Jara &#8211; Álvarez Velez vs Valenzuela Niedbalski - Garcia",,,"Álvares Jara &#8211; Álvarez Velez vs Valenzuela Niedbalski - Garcia","Álvares Jara &#8211; Álvarez Velez vs Valenzuela Niedbalski - Garcia"
"Vogel &#8211; Silva vs Vera - Viel",,,"Vogel &#8211; Silva vs Vera - Viel","Vogel &#8211; Silva vs Vera - Viel"
"Amaro Castro &#8211; Arance Ibieta vs Vidal - Benítez",,,"Amaro Castro &#8211; Arance Ibieta vs Vidal - Benítez","Amaro Castro &#8211; Arance Ibieta vs Vidal - Benítez"
"Montaner Reyes &#8211; Montaner Covarrubias vs Vargas - Diaz",,,"Montaner Reyes &#8211; Montaner Covarrubias vs Vargas - Diaz","Montaner Reyes &#8211; Montaner Covarrubias vs Vargas - Diaz"
"Romero &#8211; Merino vs Sfeir - Amigo",,,"Romero &#8211; Merino vs Sfeir - Amigo","Romero &#8211; Merino vs Sfeir - Amigo"
"Ponce &#8211; Unda vs Hurtado Sotomayor - Martínez Cuadro",,,"Ponce &#8211; Unda vs Hurtado Sotomayor - Martínez Cuadro","Ponce &#8211; Unda vs Hurtado Sotomayor - Martínez Cuadro"
"Sica &#8211; Pizarro vs Freyre - Brosky",,,"Sica &#8211; Pizarro vs Freyre - Brosky","Sica &#8211; Pizarro vs Freyre - Brosky"
"Martiz &#8211; Kattan vs Botero Piedrahita - Verástegui",,,"Martiz &#8211; Kattan vs Botero Piedrahita - Verástegui","Martiz &#8211; Kattan vs Botero Piedrahita - Verástegui"
"Giusti &#8211; Rivera vs Valenzuela Niedbalski - Garcia",,,"Giusti &#8211; Rivera vs Valenzuela Niedbalski - Garcia","Giusti &#8211; Rivera vs Valenzuela Niedbalski - Garcia"
"Eyzaguirre &#8211; Casasempere vs Vera - Viel",,,"Eyzaguirre &#8211; Casasempere vs Vera - Viel","Eyzaguirre &#8211; Casasempere vs Vera - Viel"
"Álvares Jara &#8211; Álvarez Velez vs Vidal - Benítez",,,"Álvares Jara &#8211; Álvarez Velez vs Vidal - Benítez","Álvares Jara &#8211; Álvarez Velez vs Vidal - Benítez"
"Vogel &#8211; Silva vs Vargas - Diaz",,,"Vogel &#8211; Silva vs Vargas - Diaz","Vogel &#8211; Silva vs Vargas - Diaz"
"Amaro Castro &#8211; Arance Ibieta vs Sfeir - Amigo",,,"Amaro Castro &#8211; Arance Ibieta vs Sfeir - Amigo","Amaro Castro &#8211; Arance Ibieta vs Sfeir - Amigo"
"Montaner Reyes &#8211; Montaner Covarrubias vs Hurtado Sotomayor - Martínez Cuadro",,,"Montaner Reyes &#8211; Montaner Covarrubias vs Hurtado Sotomayor - Martínez Cuadro","Montaner Reyes &#8211; Montaner Covarrubias vs Hurtado Sotomayor - Martínez Cuadro"
"Romero &#8211; Merino vs Freyre - Brosky",,,"Romero &#8211; Merino vs Freyre - Brosky","Romero &#8211; Merino vs Freyre - Brosky"
"Ponce &#8211; Unda vs Botero Piedrahita - Verástegui",,,"Ponce &#8211; Unda vs Botero Piedrahita - Verástegui","Ponce &#8211; Unda vs Botero Piedrahita - Verástegui"
"Sica &#8211; Pizarro vs Martiz - Kattan",,,"Sica &#8211; Pizarro vs Martiz - Kattan","Sica &#8211; Pizarro vs Martiz - Kattan"
"Romero Duarte &#8211; Valenzuela vs Vera - Viel",,,"Romero Duarte &#8211; Valenzuela vs Vera - Viel","Romero Duarte &#8211; Valenzuela vs Vera - Viel"
"Giusti &#8211; Rivera vs Vidal - Benítez",,,"Giusti &#8211; Rivera vs Vidal - Benítez","Giusti &#8211; Rivera vs Vidal - Benítez"
"Eyzaguirre &#8211; Casasempere vs Vargas - Diaz",,,"Eyzaguirre &#8211; Casasempere vs Vargas - Diaz","Eyzaguirre &#8211; Casasempere vs Vargas - Diaz"
"Álvares Jara &#8211; Álvarez Velez vs Sfeir - Amigo",,,"Álvares Jara &#8211; Álvarez Velez vs Sfeir - Amigo","Álvares Jara &#8211; Álvarez Velez vs Sfeir - Amigo"
"Vogel &#8211; Silva vs Hurtado Sotomayor - Martínez Cuadro",,,"Vogel &#8211; Silva vs Hurtado Sotomayor - Martínez Cuadro","Vogel &#8211; Silva vs Hurtado Sotomayor - Martínez Cuadro"
"Amaro Castro &#8211; Arance Ibieta vs Freyre - Brosky",,,"Amaro Castro &#8211; Arance Ibieta vs Freyre - Brosky","Amaro Castro &#8211; Arance Ibieta vs Freyre - Brosky"
"Montaner Reyes &#8211; Montaner Covarrubias vs Botero Piedrahita - Verástegui",,,"Montaner Reyes &#8211; Montaner Covarrubias vs Botero Piedrahita - Verástegui","Montaner Reyes &#8211; Montaner Covarrubias vs Botero Piedrahita - Verástegui"
"Romero &#8211; Merino vs Martiz - Kattan",,,"Romero &#8211; Merino vs Martiz - Kattan","Romero &#8211; Merino vs Martiz - Kattan"
"Ponce &#8211; Unda vs Sica - Pizarro",,,"Ponce &#8211; Unda vs Sica - Pizarro","Ponce &#8211; Unda vs Sica - Pizarro"
"Valenzuela Niedbalski &#8211; Garcia vs Vidal - Benítez",,,"Valenzuela Niedbalski &#8211; Garcia vs Vidal - Benítez","Valenzuela Niedbalski &#8211; Garcia vs Vidal - Benítez"
"Romero Duarte &#8211; Valenzuela vs Vargas - Diaz",,,"Romero Duarte &#8211; Valenzuela vs Vargas - Diaz","Romero Duarte &#8211; Valenzuela vs Vargas - Diaz"
"Giusti &#8211; Rivera vs Sfeir - Amigo",,,"Giusti &#8211; Rivera vs Sfeir - Amigo","Giusti &#8211; Rivera vs Sfeir - Amigo"
"Eyzaguirre &#8211; Casasempere vs Hurtado Sotomayor - Martínez Cuadro",,,"Eyzaguirre &#8211; Casasempere vs Hurtado Sotomayor - Martínez Cuadro","Eyzaguirre &#8211; Casasempere vs Hurtado Sotomayor - Martínez Cuadro"
"Álvares Jara &#8211; Álvarez Velez vs Freyre - Brosky",,,"Álvares Jara &#8211; Álvarez Velez vs Freyre - Brosky","Álvares Jara &#8211; Álvarez Velez vs Freyre - Brosky"
"Vogel &#8211; Silva vs Botero Piedrahita - Verástegui",,,"Vogel &#8211; Silva vs Botero Piedrahita - Verástegui","Vogel &#8211; Silva vs Botero Piedrahita - Verástegui"
"Amaro Castro &#8211; Arance Ibieta vs Martiz - Kattan",,,"Amaro Castro &#8211; Arance Ibieta vs Martiz - Kattan","Amaro Castro &#8211; Arance Ibieta vs Martiz - Kattan"
"Montaner Reyes &#8211; Montaner Covarrubias vs Sica - Pizarro",,,"Montaner Reyes &#8211; Montaner Covarrubias vs Sica - Pizarro","Montaner Reyes &#8211; Montaner Covarrubias vs Sica - Pizarro"
"Romero &#8211; Merino vs Ponce - Unda",,,"Romero &#8211; Merino vs Ponce - Unda","Romero &#8211; Merino vs Ponce - Unda"
"Vera &#8211; Viel vs Vargas - Diaz",,,"Vera &#8211; Viel vs Vargas - Diaz","Vera &#8211; Viel vs Vargas - Diaz"
"Valenzuela Niedbalski &#8211; Garcia vs Sfeir - Amigo",,,"Valenzuela Niedbalski &#8211; Garcia vs Sfeir - Amigo","Valenzuela Niedbalski &#8211; Garcia vs Sfeir - Amigo"
"Romero Duarte &#8211; Valenzuela vs Hurtado Sotomayor - Martínez Cuadro",,,"Romero Duarte &#8211; Valenzuela vs Hurtado Sotomayor - Martínez Cuadro","Romero Duarte &#8211; Valenzuela vs Hurtado Sotomayor - Martínez Cuadro"
"Giusti &#8211; Rivera vs Freyre - Brosky",,,"Giusti &#8211; Rivera vs Freyre - Brosky","Giusti &#8211; Rivera vs Freyre - Brosky"
"Eyzaguirre &#8211; Casasempere vs Botero Piedrahita - Verástegui",,,"Eyzaguirre &#8211; Casasempere vs Botero Piedrahita - Verástegui","Eyzaguirre &#8211; Casasempere vs Botero Piedrahita - Verástegui"
"Álvares Jara &#8211; Álvarez Velez vs Martiz - Kattan",,,"Álvares Jara &#8211; Álvarez Velez vs Martiz - Kattan","Álvares Jara &#8211; Álvarez Velez vs Martiz - Kattan"
"Vogel &#8211; Silva vs Sica - Pizarro",,,"Vogel &#8211; Silva vs Sica - Pizarro","Vogel &#8211; Silva vs Sica - Pizarro"
"Amaro Castro &#8211; Arance Ibieta vs Ponce - Unda",,,"Amaro Castro &#8211; Arance Ibieta vs Ponce - Unda","Amaro Castro &#8211; Arance Ibieta vs Ponce - Unda"
"Montaner Reyes &#8211; Montaner Covarrubias vs Romero - Merino",,,"Montaner Reyes &#8211; Montaner Covarrubias vs Romero - Merino","Montaner Reyes &#8211; Montaner Covarrubias vs Romero - Merino"
"Vidal &#8211; Benítez vs Sfeir - Amigo",,,"Vidal &#8211; Benítez vs Sfeir - Amigo","Vidal &#8211; Benítez vs Sfeir - Amigo"
"Vera &#8211; Viel vs Hurtado Sotomayor - Martínez Cuadro",,,"Vera &#8211; Viel vs Hurtado Sotomayor - Martínez Cuadro","Vera &#8211; Viel vs Hurtado Sotomayor - Martínez Cuadro"
"Valenzuela Niedbalski &#8211; Garcia vs Freyre - Brosky",,,"Valenzuela Niedbalski &#8211; Garcia vs Freyre - Brosky","Valenzuela Niedbalski &#8211; Garcia vs Freyre - Brosky"
"Romero Duarte &#8211; Valenzuela vs Botero Piedrahita - Verástegui",,,"Romero Duarte &#8211; Valenzuela vs Botero Piedrahita - Verástegui","Romero Duarte &#8211; Valenzuela vs Botero Piedrahita - Verástegui"
"Giusti &#8211; Rivera vs Martiz - Kattan",,,"Giusti &#8211; Rivera vs Martiz - Kattan","Giusti &#8211; Rivera vs Martiz - Kattan"
"Eyzaguirre &#8211; Casasempere vs Sica - Pizarro",,,"Eyzaguirre &#8211; Casasempere vs Sica - Pizarro","Eyzaguirre &#8211; Casasempere vs Sica - Pizarro"
"Álvares Jara &#8211; Álvarez Velez vs Ponce - Unda",,,"Álvares Jara &#8211; Álvarez Velez vs Ponce - Unda","Álvares Jara &#8211; Álvarez Velez vs Ponce - Unda"
"Vogel &#8211; Silva vs Romero - Merino",,,"Vogel &#8211; Silva vs Romero - Merino","Vogel &#8211; Silva vs Romero - Merino"
"Amaro Castro &#8211; Arance Ibieta vs Montaner Reyes - Montaner Covarrubias",,,"Amaro Castro &#8211; Arance Ibieta vs Montaner Reyes - Montaner Covarrubias","Amaro Castro &#8211; Arance Ibieta vs Montaner Reyes - Montaner Covarrubias"
"Vargas &#8211; Diaz vs Hurtado Sotomayor - Martínez Cuadro",,,"Vargas &#8211; Diaz vs Hurtado Sotomayor - Martínez Cuadro","Vargas &#8211; Diaz vs Hurtado Sotomayor - Martínez Cuadro"
"Vidal &#8211; Benítez vs Freyre - Brosky",,,"Vidal &#8211; Benítez vs Freyre - Brosky","Vidal &#8211; Benítez vs Freyre - Brosky"
"Vera &#8211; Viel vs Botero Piedrahita - Verástegui",,,"Vera &#8211; Viel vs Botero Piedrahita - Verástegui","Vera &#8211; Viel vs Botero Piedrahita - Verástegui"
"Valenzuela Niedbalski &#8211; Garcia vs Martiz - Kattan",,,"Valenzuela Niedbalski &#8211; Garcia vs Martiz - Kattan","Valenzuela Niedbalski &#8211; Garcia vs Martiz - Kattan"
"Romero Duarte &#8211; Valenzuela vs Sica - Pizarro",,,"Romero Duarte &#8211; Valenzuela vs Sica - Pizarro","Romero Duarte &#8211; Valenzuela vs Sica - Pizarro"
"Giusti &#8211; Rivera vs Ponce - Unda",,,"Giusti &#8211; Rivera vs Ponce - Unda","Giusti &#8211; Rivera vs Ponce - Unda"
"Eyzaguirre &#8211; Casasempere vs Romero - Merino",,,"Eyzaguirre &#8211; Casasempere vs Romero - Merino","Eyzaguirre &#8211; Casasempere vs Romero - Merino"
"Álvares Jara &#8211; Álvarez Velez vs Montaner Reyes - Montaner Covarrubias",,,"Álvares Jara &#8211; Álvarez Velez vs Montaner Reyes - Montaner Covarrubias","Álvares Jara &#8211; Álvarez Velez vs Montaner Reyes - Montaner Covarrubias"
"Vogel &#8211; Silva vs Amaro Castro - Arance Ibieta",,,"Vogel &#8211; Silva vs Amaro Castro - Arance Ibieta","Vogel &#8211; Silva vs Amaro Castro - Arance Ibieta"
"Sfeir &#8211; Amigo vs Freyre - Brosky",,,"Sfeir &#8211; Amigo vs Freyre - Brosky","Sfeir &#8211; Amigo vs Freyre - Brosky"
"Vargas &#8211; Diaz vs Botero Piedrahita - Verástegui",,,"Vargas &#8211; Diaz vs Botero Piedrahita - Verástegui","Vargas &#8211; Diaz vs Botero Piedrahita - Verástegui"
"Vidal &#8211; Benítez vs Martiz - Kattan",,,"Vidal &#8211; Benítez vs Martiz - Kattan","Vidal &#8211; Benítez vs Martiz - Kattan"
"Vera &#8211; Viel vs Sica - Pizarro",,,"Vera &#8211; Viel vs Sica - Pizarro","Vera &#8211; Viel vs Sica - Pizarro"
"Valenzuela Niedbalski &#8211; Garcia vs Ponce - Unda",,,"Valenzuela Niedbalski &#8211; Garcia vs Ponce - Unda","Valenzuela Niedbalski &#8211; Garcia vs Ponce - Unda"
"Romero Duarte &#8211; Valenzuela vs Romero - Merino",,,"Romero Duarte &#8211; Valenzuela vs Romero - Merino","Romero Duarte &#8211; Valenzuela vs Romero - Merino"
"Giusti &#8211; Rivera vs Montaner Reyes - Montaner Covarrubias",,,"Giusti &#8211; Rivera vs Montaner Reyes - Montaner Covarrubias","Giusti &#8211; Rivera vs Montaner Reyes - Montaner Covarrubias"
"Eyzaguirre &#8211; Casasempere vs Amaro Castro - Arance Ibieta",,,"Eyzaguirre &#8211; Casasempere vs Amaro Castro - Arance Ibieta","Eyzaguirre &#8211; Casasempere vs Amaro Castro - Arance Ibieta"
"Álvares Jara &#8211; Álvarez Velez vs Vogel - Silva",,,"Álvares Jara &#8211; Álvarez Velez vs Vogel - Silva","Álvares Jara &#8211; Álvarez Velez vs Vogel - Silva"
"Hurtado Sotomayor &#8211; Martínez Cuadro vs Botero Piedrahita - Verástegui",,,"Hurtado Sotomayor &#8211; Martínez Cuadro vs Botero Piedrahita - Verástegui","Hurtado Sotomayor &#8211; Martínez Cuadro vs Botero Piedrahita - Verástegui"
"Sfeir &#8211; Amigo vs Martiz - Kattan",,,"Sfeir &#8211; Amigo vs Martiz - Kattan","Sfeir &#8211; Amigo vs Martiz - Kattan"
"Vargas &#8211; Diaz vs Sica - Pizarro",,,"Vargas &#8211; Diaz vs Sica - Pizarro","Vargas &#8211; Diaz vs Sica - Pizarro"
"Vidal &#8211; Benítez vs Ponce - Unda",,,"Vidal &#8211; Benítez vs Ponce - Unda","Vidal &#8211; Benítez vs Ponce - Unda"
"Vera &#8211; Viel vs Romero - Merino",,,"Vera &#8211; Viel vs Romero - Merino","Vera &#8211; Viel vs Romero - Merino"
"Valenzuela Niedbalski &#8211; Garcia vs Montaner Reyes - Montaner Covarrubias",,,"Valenzuela Niedbalski &#8211; Garcia vs Montaner Reyes - Montaner Covarrubias","Valenzuela Niedbalski &#8211; Garcia vs Montaner Reyes - Montaner Covarrubias"
"Romero Duarte &#8211; Valenzuela vs Amaro Castro - Arance Ibieta",,,"Romero Duarte &#8211; Valenzuela vs Amaro Castro - Arance Ibieta","Romero Duarte &#8211; Valenzuela vs Amaro Castro - Arance Ibieta"
"Giusti &#8211; Rivera vs Vogel - Silva",,,"Giusti &#8211; Rivera vs Vogel - Silva","Giusti &#8211; Rivera vs Vogel - Silva"
"Eyzaguirre &#8211; Casasempere vs Álvares Jara - Álvarez Velez",,,"Eyzaguirre &#8211; Casasempere vs Álvares Jara - Álvarez Velez","Eyzaguirre &#8211; Casasempere vs Álvares Jara - Álvarez Velez"
"Freyre &#8211; Brosky vs Martiz - Kattan",,,"Freyre &#8211; Brosky vs Martiz - Kattan","Freyre &#8211; Brosky vs Martiz - Kattan"
"Hurtado Sotomayor &#8211; Martínez Cuadro vs Sica - Pizarro",,,"Hurtado Sotomayor &#8211; Martínez Cuadro vs Sica - Pizarro","Hurtado Sotomayor &#8211; Martínez Cuadro vs Sica - Pizarro"
"Sfeir &#8211; Amigo vs Ponce - Unda",,,"Sfeir &#8211; Amigo vs Ponce - Unda","Sfeir &#8211; Amigo vs Ponce - Unda"
"Vargas &#8211; Diaz vs Romero - Merino",,,"Vargas &#8211; Diaz vs Romero - Merino","Vargas &#8211; Diaz vs Romero - Merino"
"Vidal &#8211; Benítez vs Montaner Reyes - Montaner Covarrubias",,,"Vidal &#8211; Benítez vs Montaner Reyes - Montaner Covarrubias","Vidal &#8211; Benítez vs Montaner Reyes - Montaner Covarrubias"
"Vera &#8211; Viel vs Amaro Castro - Arance Ibieta",,,"Vera &#8211; Viel vs Amaro Castro - Arance Ibieta","Vera &#8211; Viel vs Amaro Castro - Arance Ibieta"
"Valenzuela Niedbalski &#8211; Garcia vs Vogel - Silva",,,"Valenzuela Niedbalski &#8211; Garcia vs Vogel - Silva","Valenzuela Niedbalski &#8211; Garcia vs Vogel - Silva"
"Romero Duarte &#8211; Valenzuela vs Álvares Jara - Álvarez Velez",,,"Romero Duarte &#8211; Valenzuela vs Álvares Jara - Álvarez Velez","Romero Duarte &#8211; Valenzuela vs Álvares Jara - Álvarez Velez"
